City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised
Scottsdale,6/06/2011,92846760017,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Phoenix-Mesa-Scottsdale, AZ",Mountain,Profitable,Later Stage,Iwate,,1,1,5.2
South San Francisco,6/06/2011,1.14E+11,Diagnostic Equipment (Not Imaging),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Later Stage,Iwate,San Francisco Bay Area,1,1,31.02
Charlottesville,6/06/2011,3.58E+11,Clinical Decision Support,Healthcare,Medical Software and Information Services,"Charlottesville, VA",Mid-Atlantic,Generating Revenue,Second Round,Iwate,,1,1,5.5
Cincinnati,6/06/2011,6.14E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Cincinnati-Middletown, OH-KY-IN",Midwest East,Product Development,Seed Round,Iwate,,1,1,0.5
Chelmsford,6/06/2011,3.57E+11,Plastic Fabrications,Industrial Goods and Materials,Materials and Chemicals,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,Iwate,Boston Metro,1,1,15.7
Reston,6/06/2011,69049760633,Communications Software,Information Technology,Software,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Profitable,Later Stage,Iwate,Potomac,1,1,5.43
Milpitas,6/06/2011,56498760078,Application-Specific Integrated Circuits,Information Technology,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,21.4
Palo Alto,6/06/2011,6.10E+11,Network/Systems Management Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,20
Franklin,6/06/2011,65502760128,Wired Communications Equipment,Information Technology,Communications and Networking,"Nashville-Davidson-Murfreesboro, TN",South East,Profitable,Later Stage,Iwate,,1,1,
Durham,6/06/2011,6.15E+11,Business Applications Software,Information Technology,Software,"Durham-Chapel Hill, NC",South East,Startup,Seed Round,Iwate,,1,1,0.35
Milpitas,6/07/2011,6.14E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,0.75
New York,6/07/2011,83825760927,Project/Document Collaboration,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Profitable,Later Stage,Iwate,New York Metro,1,1,10.72
Burlingame,6/07/2011,6.05E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,Iwate,San Francisco Bay Area,1,1,13
Milpitas,6/07/2011,3.55E+11,Business Support Services: Other,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Second Round,Iwate,San Francisco Bay Area,1,1,15
San Jose,6/07/2011,60674760328,Entertainment,Consumer Services,Consumer Information Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,6.5
New York,6/07/2011,6.06E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product In Beta Test,Second Round,Iwate,New York Metro,1,1,1.55
San Rafael,6/07/2011,99847760202,Entertainment,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,Iwate,San Francisco Bay Area,1,1,7
Park City,6/07/2011,6.14E+11,Online Communities,Consumer Services,Consumer Information Services,"Salt Lake City, UT",Mountain,Product Development,Seed Round,Iwate,,1,1,1.25
Denver,6/07/2011,6.14E+11,Natural Gas,Energy and Utilities,Non-Renewable Energy,"Denver-Aurora-Broomfield, CO",Mountain,Generating Revenue,First Round,Iwate,,1,1,
Wilmington,6/07/2011,80832760814,Fuel Cells,Energy and Utilities,Renewable Energy,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,Iwate,Boston Metro,1,1,21
Middleton,6/07/2011,6.15E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Madison, WI",Midwest East,Product Development,First Round,Iwate,,1,1,11
San Francisco,6/07/2011,6.14E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,Iwate,San Francisco Bay Area,1,1,9.2
Irving,6/07/2011,6.14E+11,Healthcare Administration Software,Healthcare,Medical Software and Information Services,"Dallas-Fort Worth-Arlington, TX",South Central,Generating Revenue,First Round,Iwate,Dallas-Fort Worth,1,1,
Irvine,6/07/2011,6.14E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Clinical Trials - Phase 1,First Round,Iwate,Orange County,1,1,
Glendale,6/07/2011,6.15E+11,Biopharmaceuticals: TBA,Healthcare,Biopharmaceuticals,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Startup,First Round,Iwate,Los Angeles Metro,1,1,
Menlo Park,6/07/2011,65271760081,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Clinical Trials - Generic,Later Stage,Iwate,San Francisco Bay Area,1,1,12
Menlo Park,6/07/2011,97438760403,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Later Stage,Iwate,San Francisco Bay Area,1,1,32
Durham,6/07/2011,6.14E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Durham-Chapel Hill, NC",South East,Generating Revenue,Seed Round,Iwate,,1,1,
Lansing,6/07/2011,1.83E+11,Materials and Chemicals: Other,Industrial Goods and Materials,Materials and Chemicals,"Lansing-East Lansing, MI",Midwest East,Generating Revenue,Corporate,Iwate,,1,1,
Atlanta,6/07/2011,4.71E+11,Business Applications Software,Information Technology,Software,"Atlanta-Sandy Springs-Marietta, GA",South East,Generating Revenue,First Round,Iwate,,1,1,17.24
Mountain View,6/07/2011,6.03E+11,Memory Systems,Information Technology,Electronics and Computer Hardware,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,40
San Francisco,6/07/2011,76768760877,Business Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,2
San Jose,6/07/2011,61897760074,General Purpose Integrated Circuits,Information Technology,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product In Beta Test,Later Stage,Iwate,San Francisco Bay Area,1,1,10
Baltimore,6/07/2011,6.04E+11,Educational/Training Software,Information Technology,Software,"Baltimore-Towson, MD",Mid-Atlantic,Generating Revenue,Second Round,Iwate,Potomac,1,1,2.99
San Mateo,6/07/2011,1.12E+11,Business Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,Iwate,San Francisco Bay Area,1,1,
Emeryville,6/08/2011,1.03E+11,Customer Relationship Management,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Profitable,Later Stage,Iwate,San Francisco Bay Area,1,1,7
Mountain View,6/08/2011,90528760180,Medical Devices and Equipment: Other,Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,20
Irvine,6/08/2011,57785760790,Diagnostic Equipment (Not Imaging),Healthcare,Medical Devices and Equipment,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,Later Stage,Iwate,Orange County,1,1,3
Overland Park,6/08/2011,6.14E+11,Network/Systems Management Software,Information Technology,Software,"Kansas City, MO-KS",Midwest Central,Generating Revenue,First Round,Iwate,,1,1,2
Hartford,6/08/2011,6.14E+11,Database Software,Information Technology,Software,"Hartford-West Hartford-East Hartford, CT",New England,Generating Revenue,First Round,Iwate,,1,1,2.8
Sunnyvale,6/08/2011,1.83E+11,Database Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,12
San Francisco,6/08/2011,1.04E+11,Multimedia/Streaming Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,Iwate,San Francisco Bay Area,1,1,3.95
Palo Alto,6/09/2011,6.14E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,2
Seattle,6/09/2011,6.14E+11,Logistics/Delivery Services,Business and Financial Services,Wholesale Trade and Shipping,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,First Round,Iwate,Seattle Metro,1,1,0.91
Pleasanton,6/09/2011,1.83E+11,Procurement/Supply Chain,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,14
Golden,6/09/2011,6.07E+11,Commercial Vehicles,Consumer Goods,Vehicles and Parts,"Denver-Aurora-Broomfield, CO",Mountain,Generating Revenue,Later Stage,Iwate,,1,1,37.7
Dallas,6/09/2011,3.53E+11,Clothing/Accessories,Consumer Goods,Personal Goods,"Dallas-Fort Worth-Arlington, TX",South Central,Generating Revenue,Later Stage,Iwate,Dallas-Fort Worth,1,1,5
Cupertino,6/09/2011,1.83E+11,Entertainment,Consumer Services,Consumer Information Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Corporate,Iwate,San Francisco Bay Area,1,1,
San Francisco,6/09/2011,6.14E+11,IT Media/Content,Consumer Services,Media and Content,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,0.19
Reston,6/09/2011,6.14E+11,Communications Software,Information Technology,Software,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Product Development,First Round,Iwate,Potomac,1,1,1
Redmond,6/09/2011,6.15E+11,Communications Software,Information Technology,Software,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product Development,First Round,Iwate,Seattle Metro,1,1,7.5
Frederick,6/09/2011,92852760907,Business Applications Software,Information Technology,Software,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,Potomac,1,1,4.65
Milpitas,6/09/2011,79770760252,Integrated Circuit Production,Information Technology,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,15
Shelton,6/09/2011,6.15E+11,Network/Systems Management Software,Information Technology,Software,"New Haven-Milford, CT",Mid-Atlantic,Startup,Seed Round,Iwate,New York Metro,1,1,0.15
Edison,6/10/2011,4.71E+11,Facilities/Operations Management,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Second Round,Iwate,New York Metro,1,1,2
Vero Beach,6/10/2011,6.15E+11,Health Media/Content,Consumer Services,Media and Content,"Sebastian-Vero Beach, FL",South East,Generating Revenue,First Round,Iwate,,1,1,0.6
San Diego,6/10/2011,6.15E+11,Biopharmaceuticals: TBA,Healthcare,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Product Development,First Round,Iwate,San Diego Metro,1,1,8.5
Broomfield,6/10/2011,87897760983,Software Development Tools,Information Technology,Software,"Denver-Aurora-Broomfield, CO",Mountain,Generating Revenue,Later Stage,Iwate,,1,1,9.77
Austin,6/10/2011,6.06E+11,Wireless Communications Equipment,Information Technology,Communications and Networking,"Austin-Round Rock, TX",South Central,Product Development,Second Round,Iwate,Austin Metro,1,1,10
San Francisco,6/10/2011,6.14E+11,To Be Assigned,To Be Assigned,To Be Assigned,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,First Round,Iwate,San Francisco Bay Area,1,1,2
San Francisco,6/11/2011,6.15E+11,Online Communities,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Seed Round,Iwate,San Francisco Bay Area,1,1,1
Los Angeles,6/13/2011,1.15E+11,Recreational/Sports Vehicles,Consumer Goods,Vehicles and Parts,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Individual,Iwate,Los Angeles Metro,1,1,25
Westford,6/13/2011,57977760497,Communications Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,Iwate,Boston Metro,1,1,16
Boston,6/13/2011,6.14E+11,Recreational/Home Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Second Round,Iwate,Boston Metro,1,1,7.5
Waltham,6/13/2011,6.14E+11,Database Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Startup,Seed Round,Iwate,Boston Metro,1,1,1.5
Celebration,6/14/2011,62499760926,Business to Business Marketplaces,Business and Financial Services,Business Support Services,"Orlando, FL",South East,Profitable,Later Stage,Iwate,,1,1,3.01
Redwood City,6/14/2011,1.06E+11,Customer Relationship Management,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Restart,Iwate,San Francisco Bay Area,1,1,5
Pittsburgh,6/14/2011,3.58E+11,Payment/Transactional Processing,Business and Financial Services,Financial Institutions and Services,"Pittsburgh, PA",Mid-Atlantic,Generating Revenue,Second Round,Iwate,,1,1,35
Bloomington,6/14/2011,6.14E+11,General Food Products,Consumer Goods,Food and Beverage,"Bloomington, IN",Midwest East,Generating Revenue,Second Round,Iwate,,1,1,
New York,6/14/2011,6.11E+11,Online Communities,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,First Round,Iwate,New York Metro,1,1,3
New York,6/14/2011,81044761064,Entertainment,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,New York Metro,1,1,0.59
Redwood City,6/14/2011,1.83E+11,Entertainment,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,Iwate,San Francisco Bay Area,1,1,4
Boston,6/14/2011,6.14E+11,Entertainment,Consumer Services,Consumer Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Seed Round,Iwate,Boston Metro,1,1,1.25
Petaluma,6/14/2011,1.11E+11,Solar Energy,Energy and Utilities,Renewable Energy,"Santa Rosa-Petaluma, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,14
Austin,6/14/2011,96547760720,Solar Energy,Energy and Utilities,Renewable Energy,"Austin-Round Rock, TX",South Central,Generating Revenue,Later Stage,Iwate,Austin Metro,1,1,11.05
Albuquerque,6/14/2011,69883761079,Diagnostic Equipment (Not Imaging),Healthcare,Medical Devices and Equipment,"Albuquerque, NM",Mountain,Generating Revenue,Later Stage,Iwate,,1,1,4.91
St. Louis,6/14/2011,56300761082,Business Applications Software,Information Technology,Software,"St. Louis, MO-IL",Midwest Central,Generating Revenue,Later Stage,Iwate,,1,1,0.5
Boulder,6/14/2011,99909761869,Communications Software,Information Technology,Software,"Boulder, CO",Mountain,Generating Revenue,Later Stage,Iwate,,1,1,
Mountain View,6/15/2011,6.07E+11,Facilities/Operations Management,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,18
Atlanta,6/15/2011,6.14E+11,Health Media/Content,Consumer Services,Media and Content,"Atlanta-Sandy Springs-Marietta, GA",South East,Generating Revenue,First Round,Iwate,,1,1,8.75
Sunnyvale,6/15/2011,1.15E+11,IT Media/Content,Consumer Services,Media and Content,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,17
New York,6/15/2011,6.07E+11,Online Communities,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Second Round,Iwate,New York Metro,1,1,6
San Francisco,6/15/2011,6.14E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,Seed Round,Iwate,San Francisco Bay Area,1,1,2
Arlington,6/15/2011,6.14E+11,Medical Lab Instruments/Test Kits,Healthcare,Medical Devices and Equipment,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,First Round,Iwate,Potomac,1,1,3
Kirkland,6/15/2011,91548761039,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Clinical Trials - Generic,Later Stage,Iwate,Seattle Metro,1,1,10.02
Romeoville,6/15/2011,54323760499,Coatings/Adhesives,Industrial Goods and Materials,Materials and Chemicals,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Later Stage,Iwate,Chicago Metro,1,1,5.2
Marina del Rey,6/15/2011,88258760959,Software: Other,Information Technology,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,First Round,Iwate,Los Angeles Metro,1,1,0.4
Lansdale,6/15/2011,3.56E+11,Educational/Training Software,Information Technology,Software,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,,1,1,4.5
Denver,6/15/2011,1.02E+11,Database Software,Information Technology,Software,"Denver-Aurora-Broomfield, CO",Mountain,Generating Revenue,Later Stage,Iwate,,1,1,0.02
Rochester,6/15/2011,3.59E+11,Electronic Components/Devices,Information Technology,Electronics and Computer Hardware,"Rochester, MN",Midwest Central,Generating Revenue,Second Round,Iwate,,1,1,0.1
Cambridge,6/16/2011,6.04E+11,Business Support Services: Other,Business and Financial Services,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,Iwate,Boston Metro,1,1,0.51
Atlanta,6/16/2011,6.14E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"Atlanta-Sandy Springs-Marietta, GA",South East,Product Development,First Round,Iwate,,1,1,1
Boston,6/16/2011,88479760651,Shopping Facilitators,Consumer Services,Consumer Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,Iwate,Boston Metro,1,1,7
Brentwood,6/16/2011,1.15E+11,Health Media/Content,Consumer Services,Media and Content,"Nashville-Davidson-Murfreesboro, TN",South East,Generating Revenue,Later Stage,Iwate,,1,1,5.27
Novato,6/16/2011,6.15E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Clinical Trials - Phase 1,First Round,Iwate,San Francisco Bay Area,1,1,45
Boston,6/16/2011,6.15E+11,General Industrial Goods,Industrial Goods and Materials,Machinery and Industrial Goods,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,First Round,Iwate,Boston Metro,1,1,10
New York,6/16/2011,6.14E+11,Business Applications Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product In Beta Test,First Round,Iwate,New York Metro,1,1,1.8
San Francisco,6/16/2011,6.15E+11,Recreational/Home Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,2.5
San Jose,6/16/2011,6.15E+11,Vertical Market Applications Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,4.33
Azusa,6/16/2011,1.14E+11,Power Supplies,Information Technology,Electronics and Computer Hardware,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Later Stage,Iwate,Los Angeles Metro,1,1,9
Mountain View,6/16/2011,6.14E+11,Business Applications Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Seed Round,Iwate,San Francisco Bay Area,1,1,0.7
Palo Alto,6/17/2011,95717761646,Business Support Services: Other,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,6
Sunnyvale,6/17/2011,6.15E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,5
Seattle,6/17/2011,6.14E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product In Beta Test,First Round,Iwate,Seattle Metro,1,1,
Santa Monica,6/17/2011,6.07E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Later Stage,Iwate,Los Angeles Metro,1,1,23.5
Venice,6/17/2011,6.15E+11,Entertainment,Consumer Services,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,Seed Round,Iwate,Los Angeles Metro,1,1,0.61
Los Angeles,6/17/2011,99446761078,Healthcare Services: Other,Healthcare,Healthcare Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Later Stage,Iwate,Los Angeles Metro,1,1,1.75
Cambridge,6/17/2011,3.56E+11,Plastic Fabrications,Industrial Goods and Materials,Materials and Chemicals,"Boston-Cambridge-Quincy, MA-NH",New England,Startup,Second Round,Iwate,Boston Metro,1,1,12.8
Asheville,6/17/2011,3.56E+11,Business Applications Software,Information Technology,Software,"Asheville, NC",South East,Generating Revenue,Corporate,Iwate,,1,1,4
Bethesda,6/17/2011,3.58E+11,Business Applications Software,Information Technology,Software,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,Potomac,1,1,10.05
Bowie,6/17/2011,81191761086,Communications Software,Information Technology,Software,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,Potomac,1,1,0.3
Sunnyvale,6/17/2011,98461761136,General Purpose Integrated Circuits,Information Technology,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,3.3
Palo Alto,6/17/2011,75663757745,Network/Systems Management Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,51.63
Trumbull,6/17/2011,6.04E+11,Software: Other,Information Technology,Software,"Bridgeport-Stamford-Norwalk, CT",Mid-Atlantic,Generating Revenue,Second Round,Iwate,New York Metro,1,1,1
San Francisco,6/17/2011,98293760364,Wireless Communications Equipment,Information Technology,Communications and Networking,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,Iwate,San Francisco Bay Area,1,1,15
Cambridge,6/17/2011,6.15E+11,Communications Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Startup,Seed Round,Iwate,Boston Metro,1,1,1
Cupertino,6/18/2011,6.05E+11,Surgical Devices,Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Clinical Trials - Generic,Later Stage,Iwate,San Francisco Bay Area,1,1,26.17
New York,6/20/2011,6.15E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,First Round,Iwate,New York Metro,1,1,0.76
Durham,6/20/2011,95136760687,Solar Energy,Energy and Utilities,Renewable Energy,"Durham-Chapel Hill, NC",South East,Generating Revenue,Later Stage,Iwate,,1,1,20
Minneapolis,6/20/2011,1.83E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Product Development,Later Stage,Iwate,,1,1,5
Irvine,6/20/2011,3.58E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,Later Stage,Iwate,Orange County,1,1,15.01
Atlanta,6/20/2011,6.12E+11,Medical Software and Information Services: Other,Healthcare,Medical Software and Information Services,"Atlanta-Sandy Springs-Marietta, GA",South East,Generating Revenue,Second Round,Iwate,,1,1,7.5
Louisville,6/20/2011,3.58E+11,Diagnostic Imaging Equipment,Healthcare,Medical Devices and Equipment,"Louisville, KY-IN",South East,Product Development,Second Round,Iwate,,1,1,4.01
Missoula,6/20/2011,6.12E+11,Agrochemicals,Industrial Goods and Materials,Materials and Chemicals,"Missoula, MT",Mountain,Generating Revenue,Second Round,Iwate,,1,1,2.2
San Francisco,6/20/2011,78534761426,Business Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,11
Irvine,6/20/2011,63181760643,Application-Specific Integrated Circuits,Information Technology,Semiconductors,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Later Stage,Iwate,Orange County,1,1,14
Winter Garden,6/20/2011,6.15E+11,Communications Software,Information Technology,Software,"Orlando, FL",South East,Product In Beta Test,Seed Round,Iwate,,1,1,1
San Ramon,6/21/2011,53782761324,Lending,Business and Financial Services,Financial Institutions and Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,12
Seattle,6/21/2011,89172761264,Human Resources/Recruitment,Business and Financial Services,Business Support Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Later Stage,Iwate,Seattle Metro,1,1,7
Palo Alto,6/21/2011,6.11E+11,Business Support Services: Other,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product In Beta Test,Second Round,Iwate,San Francisco Bay Area,1,1,11
Boston,6/21/2011,6.15E+11,Household Goods/Services Retailers,Consumer Services,Retailers,"Boston-Cambridge-Quincy, MA-NH",New England,Profitable,Later Stage,Iwate,Boston Metro,1,1,165
Cambridge,6/21/2011,6.15E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,First Round,Iwate,Boston Metro,1,1,26
Boston,6/21/2011,6.15E+11,Clinical Decision Support,Healthcare,Medical Software and Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,First Round,Iwate,Boston Metro,1,1,5.5
Atlanta,6/21/2011,6.15E+11,Healthcare Administration Software,Healthcare,Medical Software and Information Services,"Atlanta-Sandy Springs-Marietta, GA",South East,Generating Revenue,First Round,Iwate,,1,1,3.23
Broomfield,6/21/2011,3.59E+11,Diagnostic Equipment (Not Imaging),Healthcare,Medical Devices and Equipment,"Denver-Aurora-Broomfield, CO",Mountain,Generating Revenue,Later Stage,Iwate,,1,1,10
Menlo Park,6/21/2011,6.15E+11,Medical Software and Information Services: Other,Healthcare,Medical Software and Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Seed Round,Iwate,San Francisco Bay Area,1,1,1.5
